,title
2402,Bats
2403,The Best Man
2404,Bringing Out the Dead
2405,Crazy in Alabama
2406,Three to Tango
2407,Body Shots
2408,Brother Can You Spare A Dime
2409,The Guardian
2410,The Ipcress File
2411,On Any Sunday
2412,RoboCop
2413,RoboCop 2
2414,Who Framed Roger Rabbit
2415,Melvin and Howard
2416,For Your Eyes Only
2417,Licence to Kill
2418,Live and Let Die
2419,Rawhead Rex
2420,Thunderball
2421,House on Haunted Hill
2422,Music of the Heart
2423,Being John Malkovich
2424,Dreaming of Joseph Lees
2425,Princess Mononoke
2426,The Suburbans
2427,My Best Fiend
2428,Train of Life
2429,The Bachelor
2430,The Bone Collector
2431,The Insider
2432,American Movie
2433,Last Night
2434,Rosetta
2435,"They Shoot Horses, Don't They?"
2436,Bride of Re-Animator
2437,Coma
2438,Creepshow
2439,Creepshow 2
2440,Re-Animator
2441,Drugstore Cowboy
2442,Falling Down
2443,The Funhouse
2444,The General
2445,Piranha
2446,Rough Night in Jericho
2447,The Taming of the Shrew
2448,Nighthawks
2449,Yojimbo
2450,Repossessed
2451,The Omega Man
2452,Spaceballs
2453,Robin Hood
2454,Mister Roberts
2455,Quest for Fire
2456,Little Big Man
2457,A Face in the Crowd
2458,Trading Places
2459,Meatballs
2460,Meatballs Part II
2461,Meatballs III: Summer Job
2462,Meatballs 4
2463,Dead Again
2464,Peter's Friends
2465,The Incredibly True Adventure of Two Girls In Love
2466,Experience Preferred...But Not Essential
2467,Under the Rainbow
2468,Anywhere But Here
2469,Dogma
2470,The Messenger: The Story of Joan of Arc
2471,Pokémon: The First Movie: Mewtwo Strikes Back
2472,Felicia's Journey
2473,Where's Marlowe?
2474,The Commitments
2475,Holiday Inn
2476,The Longest Day
2477,Poison Ivy
2478,Poison Ivy: The New Seduction
2479,Tora! Tora! Tora!
2480,Women on the Verge of a Nervous Breakdown
2481,The Verdict
2482,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
2483,The Adventures of Buckaroo Banzai Across the 8th Dimension
2484,Stand and Deliver
2485,Moonstruck
2486,Jeremiah Johnson
2487,Repulsion
2488,Irma la Douce
2489,42 Up
2490,Liberty Heights
2491,Mansfield Park
2492,Sleepy Hollow
2493,The World Is Not Enough
2494,All About My Mother
2495,Babes in Toyland
2496,Scrooged
2497,Harvey
2498,Bicycle Thieves
2499,Matewan
2500,Kagemusha
2501,McCabe & Mrs. Miller
2502,Maurice
2503,The Grapes of Wrath
2504,My Man Godfrey
2505,The Shop Around the Corner
2506,The Natural
2507,Shampoo
2508,A River Runs Through It
2509,Fatal Attraction
2510,Jagged Edge
2511,Stanley & Iris
2512,Midnight Run
2513,Awakenings
2514,Come See the Paradise
2515,Backdraft
2516,The Fisher King
2517,The River
2518,Country
2519,Places in the Heart
2520,"'night, Mother"
2521,End of Days
2522,Toy Story 2
2523,Flawless
2524,Miss Julie
2525,Ride with the Devil
2526,Tumbleweeds
2527,The Distinguished Gentleman
2528,The Hitch-Hiker
2529,Santa Fe Trail
2530,The End of the Affair
2531,Holy Smoke!
2532,A Map of the World
2533,Sweet and Lowdown
2534,The Bonfire of the Vanities
2535,Go West
2536,Grand Illusion
2537,The Great Santini
2538,The James Dean Story
2539,Stealing Home
2540,Three Ages
2541,The Two Jakes
2542,U2: Rattle and Hum
2543,Hell in the Pacific
2544,The Glass Bottom Boat
2545,Cradle Will Rock
2546,Deuce Bigalow: Male Gigolo
2547,The Green Mile
2548,The Cider House Rules
2549,The War Zone
2550,The Last Picture Show
2551,The 7th Voyage of Sinbad
2552,Anna and the King
2553,Bicentennial Man
2554,Stuart Little
2555,The Emperor and the Assassin
2556,Fantasia 2000
2557,Magnolia
2558,Onegin
2559,Topsy-Turvy
2560,Boiling Point
2561,Brenda Starr
2562,Carnal Knowledge
2563,Easy Rider
2564,The Falcon and the Snowman
2565,Room at the Top
2566,Any Given Sunday
2567,Man on the Moon
2568,Galaxy Quest
2569,The Talented Mr. Ripley
2570,Next Friday
2571,The Hurricane
2572,Angela's Ashes
2573,Play It to the Bone
2574,Titus
2575,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr."
2576,The Third Miracle
2577,Snow Falling on Cedars
2578,"Girl, Interrupted"
2579,The Life and Times of Hank Greenberg
2580,My Dog Skip
2581,Supernova
2582,The Terrorist
2583,The Way We Were
2584,Stalag 17
2585,The Presidio
2586,Papillon
2587,Pal Joey
2588,The Last Detail
2589,Five Easy Pieces
2590,Even Dwarfs Started Small
2591,Dead Calm
2592,The Boys from Brazil
2593,Black Sunday
2594,Against All Odds
2595,The Snows of Kilimanjaro
2596,National Lampoon's Loaded Weapon 1
2597,Fast Times at Ridgemont High
2598,A Cry in the Dark
2599,Batman: Mask of the Phantasm
2600,American Flyers
2601,Vampyros Lesbos
2602,A Star Is Born
2603,Poison
2604,Pacific Heights
2605,The Draughtsman's Contract
2606,A Zed & Two Noughts
2607,Woman in the Dunes
2608,Down to You
2609,Seven Chances
2610,Where the Buffalo Roam
2611,Eye of the Beholder
2612,Isn't She Great
2613,The Big Tease
2614,The Cup
2615,Encino Man
2616,The Goodbye Girl
2617,I Am Cuba
2618,Malcolm X
2619,Sister Act
2620,Sister Act 2: Back in the Habit
2621,The Hand that Rocks the Cradle
2622,Alive
2623,Agnes of God
2624,Scent of a Woman
2625,Wayne's World
2626,Wayne's World 2
2627,A League of Their Own
2628,Patriot Games
2629,The Bodyguard
2630,Death Becomes Her
2631,Far and Away
2632,Howards End
2633,Singles
2634,Twin Peaks: Fire Walk with Me
2635,White Men Can't Jump
2636,Buffy the Vampire Slayer
2637,Hard Boiled
2638,Man Bites Dog
2639,El Mariachi
2640,Stop! Or My Mom Will Shoot
2641,Forever Young
2642,The Cutting Edge
2643,Of Mice and Men
2644,Bad Lieutenant
2645,Scream 3
2646,Single White Female
2647,The Boondock Saints
2648,Gun Shy
2649,The Brandon Teena Story
2650,Different for Girls
2651,They Might Be Giants
2652,The Beach
2653,Snow Day
2654,The Tigger Movie
2655,Not One Less
2656,The Big Combo
2657,Eaten Alive
2658,"To Sir, with Love"
2659,Boiler Room
2660,Hanging Up
2661,Pitch Black
2662,The Whole Nine Yards
2663,Beautiful People
2664,Black Tar Heroin: The Dark End of the Street
2665,Blue Collar
2666,The Circus
2667,City Lights
2668,The Flamingo Kid
2669,A Dog's Life
2670,The Kid
2671,Class Reunion
2672,The Big Trees
2673,Reindeer Games
2674,Wonder Boys
2675,Deterrence
2676,Mifune
2677,Drowning Mona
2678,The Next Best Thing
2679,What Planet Are You From?
2680,Beyond the Mat
2681,Ghost Dog: The Way of the Samurai
2682,The Year My Voice Broke
2683,Splendor in the Grass
2684,My Tutor
2685,Key Largo
2686,For All Mankind
2687,Cross of Iron
2688,Bride of the Monster
2689,Born Yesterday
2690,Birdy
2691,And God Created Woman
2692,Blood Feast
2693,Never Cry Wolf
2694,The Perils of Pauline
2695,A Raisin in the Sun
2696,Two Thousand Maniacs!
2697,Mission to Mars
2698,The Ninth Gate
2699,East/West
2700,Defending Your Life
2701,Breaking Away
2702,Hoosiers
2703,Bull Durham
2704,Dog Day Afternoon
2705,American Graffiti
2706,The Asphalt Jungle
2707,The Searchers
2708,The Big Country
2709,Betrayed
2710,Bound for Glory
2711,Hangmen Also Die!
2712,On the Beach
2713,Railroaded!
2714,The Taking of Pelham One Two Three
2715,Volunteers
2716,JFK
2717,Who's Harry Crumb?
2718,Harry and the Hendersons
2719,Shanghai Surprise
2720,Who's That Girl
2721,She-Devil
2722,Date With an Angel
2723,Blind Date
2724,Nadine
2725,The Muppet Movie
2726,The Great Muppet Caper
2727,The Muppets Take Manhattan
2728,Sesame Street Presents Follow That Bird
2729,We're Back! A Dinosaur's Story
2730,Baby: Secret of the Lost Legend
2731,Turtle Diary
2732,Titanic
2733,A Night to Remember
2734,Captain Horatio Hornblower R.N.
2735,Erin Brockovich
2736,Final Destination
2737,The Bear
2738,Love Is a Many-Splendored Thing
2739,Mirror
2740,The Crimson Pirate
2741,Thelma & Louise
2742,...And Justice for All
2743,Animal House
2744,She's Gotta Have It
2745,School Daze
2746,Do the Right Thing
2747,Mo' Better Blues
2748,Jungle Fever
2749,Coogan's Bluff
2750,The Champ
2751,Creature Comforts
2752,Death Wish
2753,Death Wish 2
2754,Death Wish 3
2755,Death Wish 5: The Face of Death
2756,Double Indemnity
2757,Dying Young
2758,Cool as Ice
2759,Teenage Mutant Ninja Turtles
2760,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
2761,Teenage Mutant Ninja Turtles III
2762,Red Dawn
2763,Band of the Hand
2764,Bloodsport
2765,Eyes of Laura Mars
2766,Funny Bones
2767,The Good Earth
2768,"Good Morning, Vietnam"
2769,The Good Mother
2770,Grumpy Old Men
2771,Guess Who's Coming to Dinner
2772,Romeo Must Die
2773,Here On Earth
2774,Whatever It Takes
2775,The Color of Paradise
2776,Waking the Dead
2777,Gothic
2778,Hillbillys in a Haunted House
2779,Lord of the Flies
2780,Modern Times
2781,National Lampoon's Last Resort
2782,That's Life!
2783,Heart and Souls
2784,Hud
2785,The Hustler
2786,Inherit the Wind
2787,Dersu Uzala
2788,Close Encounters of the Third Kind
2789,Retroactive
2790,A Place in the Sun
2791,Jacob's Ladder
2792,Empire Records
2793,La Bamba
2794,Ladyhawke
2795,Lucas
2796,High Fidelity
2797,The Road to El Dorado
2798,The Skulls
2799,El Dorado
2800,Hook
2801,Horror Express
2802,My Chauffeur
2803,The Son of the Sheik
2804,True Grit
2805,Roadside Prophets
2806,Madame Sousatzka
2807,Max Dugan Returns
2808,Midnight Express
2809,Misery
2810,Mr. Saturday Night
2811,Murphy's Romance
2812,My Life
2813,Solaris
2814,Network
2815,No Way Out
2816,North Dallas Forty
2817,The Odd Couple
2818,The Outlaw Josey Wales
2819,Black and White
2820,Frequency
2821,Ready to Rumble
2822,Return to Me
2823,Rules of Engagement
2824,Me Myself I
2825,"Bell, Book and Candle"
2826,The End of Violence
2827,Force 10 from Navarone
2828,How to Stuff a Wild Bikini
2829,Mystery Train
2830,Sacco & Vanzetti
2831,Arthur
2832,Bachelor Party
2833,Parenthood
2834,Predator
2835,The Prince of Tides
2836,The Postman Always Rings Twice
2837,All the Vermeers in New York
2838,28 Days
2839,American Psycho
2840,Keeping the Faith
2841,Where the Money is
2842,East Is East
2843,The Filth and the Fury
2844,Passion of Mind
2845,Diner
2846,Shakes the Clown
2847,Cabaret
2848,What Ever Happened to Baby Jane?
2849,Prick Up Your Ears
2850,Auntie Mame
2851,Guys and Dolls
2852,The Hunger
2853,Marathon Man
2854,Caddyshack
2855,Gossip
2856,Love & Basketball
2857,U-571
2858,The Virgin Suicides
2859,Jennifer Eight
2860,Limelight
2861,Empire of Passion
2862,The Crow: Salvation
2863,The Flintstones in Viva Rock Vegas
2864,Where the Heart Is
2865,The Big Kahuna
2866,Bossa Nova
2867,Smiling Fish & Goat On Fire
2868,The Idiots
2869,Timecode
2870,Carnosaur
2871,Carnosaur 2
2872,Carnosaur 3: Primal Species
2873,Defying Gravity
2874,The Hidden
2875,Two Moon Junction
2876,Gladiator
2877,I Dreamed of Africa
2878,Up at the Villa
2879,Human Traffic
2880,Breathless
2881,Inferno
2882,The King of Marvin Gardens
2883,The Lords of Flatbush
2884,Mr. Mom
2885,Battlefield Earth
2886,Center Stage
2887,Screwed
2888,Hamlet
2889,Anchors Aweigh
2890,Blue Hawaii
2891,G.I. Blues
2892,Gypsy
2893,King Creole
2894,On the Town
2895,Pee-wee's Big Adventure
2896,Regret to Inform
2897,Saludos Amigos
2898,The Slipper and the Rose
2899,Things Change
2900,Honeymoon in Vegas
2901,Dinosaur
2902,Loser
2903,Road Trip
2904,Small Time Crooks
2905,The Hollywood Knights
2906,The Myth Of Fingerprints
2907,Possession
2908,The Twelve Chairs
2909,Mission: Impossible II
2910,Shanghai Noon
2911,8 ½ Women
2912,Carnival of Souls
2913,Flying Tigers
2914,The Gold Rush
2915,Monsieur Verdoux
2916,On Her Majesty's Secret Service
2917,Seven Days in May
2918,The Spy Who Loved Me
2919,Vagabond
2920,Moonraker
2921,The Man with the Golden Gun
2922,A King in New York
2923,The Fighting Seabees
2924,Big Momma's House
2925,American Gigolo
2926,The Endless Summer
2927,The Guns of Navarone
2928,La Grande Bouffe
2929,Lured
2930,Pandora and the Flying Dutchman
2931,Quatermass and the Pit
2932,Quatermass II
2933,Puppet Master
2934,Puppet Master II
2935,Puppet Master III Toulon's Revenge
2936,Puppet Master 4
2937,Puppet Master 5: The Final Chapter
2938,Curse of the Puppet Master
2939,Romeo and Juliet
2940,Stay Tuned
2941,Blazing Saddles
2942,Benji
2943,Benji the Hunted
2944,For the Love of Benji
2945,White Christmas
2946,Eraserhead
2947,Baraka
2948,The Man with the Golden Arm
2949,The Decline of Western Civilization
2950,The Decline of Western Civilization Part II: The Metal Years
2951,For a Few Dollars More
2952,Magnum Force
2953,Blood Simple
2954,The Fabulous Baker Boys
2955,Prizzi's Honor
2956,Flatliners
2957,Gandahar
2958,Porky's
2959,Porky's II: The Next Day
2960,Porky's 3: Revenge
2961,Private School
2962,Class of Nuke 'Em High
2963,The Toxic Avenger
2964,The Toxic Avenger Part II
2965,The Toxic Avenger Part III: The Last Temptation of Toxie
2966,Night of the Creeps
2967,Predator 2
2968,The Running Man
2969,Starman
2970,The Brother from Another Planet
2971,Alien Nation
2972,Mad Max
2973,Mad Max 2: The Road Warrior
2974,Mad Max Beyond Thunderdome
2975,Bird on a Wire
2976,Angel Heart
2977,Nine 1/2 Weeks
2978,Firestarter
2979,Sleepwalkers
2980,Action Jackson
2981,Soapdish
2982,The Long Walk Home
2983,Clara's Heart
2984,Burglar
2985,Fatal Beauty
2986,Gone in Sixty Seconds
2987,American Pimp
2988,Love's Labour's Lost
2989,Sunshine
2990,Trixie
2991,Hamlet
2992,Coming Home
2993,American Pop
2994,Assault on Precinct 13
2995,Near Dark
2996,One False Move
2997,Shaft
2998,The Conversation
2999,Cutter's Way
3000,The Fury
3001,The Paper Chase
3002,Prince of the City
3003,Serpico
3004,Ace in the Hole
3005,Lonely Are the Brave
3006,The Sugarland Express
3007,Trouble in Paradise
3008,Big Trouble in Little China
3009,Badlands
3010,Battleship Potemkin
3011,Boys and Girls
3012,Shaft
3013,Titan A.E.
3014,Butterfly
3015,Jesus' Son
3016,Chicken Run
3017,"Me, Myself & Irene"
3018,The Patriot
3019,The Adventures of Rocky & Bullwinkle
3020,The Perfect Storm
3021,Asylum
3022,Communion
3023,Fun & Fancy Free
3024,The Kentucky Fried Movie
3025,Bound by Honor
3026,F/X
3027,F/X2
3028,The Hot Spot
3029,Missing in Action
3030,Braddock: Missing in Action III
3031,Thunderbolt and Lightfoot
3032,Dreamscape
3033,The Golden Voyage of Sinbad
3034,House Party
3035,House Party 2
3036,Make Mine Music
3037,Nekromantik
3038,Rocketship X-M
3039,Croupier
3040,The Kid
3041,Scary Movie
3042,But I'm a Cheerleader
3043,Shower
3044,Blow-Up
3045,The Pawnbroker
3046,Groove
3047,Footloose
3048,Duel in the Sun
3049,X-Men
3050,Chuck & Buck
3051,The Five Senses
3052,What Lies Beneath
3053,Pokémon: The Movie 2000
3054,Criminal Lovers
3055,Anatomy of a Murder
3056,Freejack
3057,H.O.T.S.
3058,Knightriders
3059,Mackenna's Gold
3060,Sinbad and the Eye of the Tiger
3061,What About Bob?
3062,White Sands
3063,Breaker Morant
3064,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask
3065,Interiors
3066,Love and Death
3067,The Official Story
3068,Tampopo
3069,Thomas and the Magic Railroad
3070,Nutty Professor II: The Klumps
3071,The Girl on the Bridge
3072,Wonderland
3073,Autumn in New York
3074,Coyote Ugly
3075,Hollow Man
3076,Space Cowboys
3077,Mad About Mambo
3078,Saving Grace
3079,Black Sabbath
3080,The Brain That Wouldn't Die
3081,Bronco Billy
3082,The Crush
3083,Kelly's Heroes
3084,Phantasm II
3085,Phantasm III: Lord of the Dead
3086,Phantasm IV: Oblivion
3087,Pumpkinhead
3088,Air America
3089,Sleepaway Camp
3090,Steel Magnolias
3091,...And God Created Woman
3092,Easy Money
3093,Ilsa: She Wolf of the SS
3094,Silent Fall
3095,The Spiral Staircase
3096,Margaret Cho: I'm the One That I Want
3097,The Tao of Steve
3098,Aimee & Jaguar
3099,An Affair of Love
3100,Bless the Child
3101,Cecil B. Demented
3102,The Eyes of Tammy Faye
3103,The Opportunists
3104,The Replacements
3105,The Cell
3106,Godzilla 2000
3107,The Original Kings of Comedy
3108,The Naked Gun: From the Files of Police Squad!
3109,The Naked Gun 2½: The Smell of Fear
3110,Our Town
3111,Shane
3112,"Suddenly, Last Summer"
3113,Cat Ballou
3114,The Devil Rides Out
3115,Supergirl
3116,The Art of War
3117,The Ballad of Ramblin' Jack
3118,Bring It On
3119,Catfish in Black Bean Sauce
3120,Love & Sex
3121,Steal This Movie
3122,Highlander: Endgame
3123,Backstage
3124,Turn It Up
3125,Anatomy
3126,Nurse Betty
3127,The Watcher
3128,The Way of the Gun
3129,Almost Famous
3130,Crime + Punishment in Suburbia
3131,Duets
3132,Goya in Bordeaux
3133,Urbania
3134,The Specials
3135,Under Suspicion
3136,Urban Legends: Final Cut
3137,Woman on Top
3138,Dancer in the Dark
3139,Best in Show
3140,Barenaked in America
3141,The Broken Hearts Club: A Romantic Comedy
3142,Girlfight
3143,Remember the Titans
3144,Hellraiser
3145,Hellbound: Hellraiser II
3146,Hellraiser III: Hell on Earth
3147,"Faraway, So Close!"
3148,Beach Party
3149,Bikini Beach
3150,Return of the Fly
3151,Pajama Party
3152,Stranger Than Paradise
3153,Voyage to the Bottom of the Sea
3154,Fantastic Voyage
3155,Abbott and Costello Meet Frankenstein
3156,The Bank Dick
3157,Creature from the Black Lagoon
3158,The Invisible Man
3159,The Killer Shrews
3160,Kronos
3161,Phantom of the Opera
3162,Runaway
3163,The Slumber Party Massacre
3164,Slumber Party Massacre II
3165,Slumber Party Massacre III
3166,Sorority House Massacre
3167,Sorority House Massacre II
3168,Bamboozled
3169,Digimon: The Movie
3170,Get Carter
3171,Get Carter
3172,Meet the Parents
3173,Requiem for a Dream
3174,Tigerland
3175,Two Family House
3176,The Contender
3177,Dr. T and the Women
3178,The Ladies Man
3179,Lost Souls
3180,Billy Jack
3181,The Time Machine
3182,Haunted
3183,Ghoulies
3184,Ghoulies II
3185,The Unsinkable Molly Brown
3186,The Adventures of Ichabod and Mr. Toad
3187,The Strange Love of Martha Ivers
3188,Detour
3189,Billy Elliot
3190,Bedazzled
3191,Pay It Forward
3192,The Beyond
3193,The Private Eyes
3194,The Legend of Drunken Master
3195,Book of Shadows: Blair Witch 2
3196,Lucky Numbers
3197,Stardom
3198,Charlie's Angels
3199,The Legend of Bagger Vance
3200,Little Nicky
3201,Men of Honor
3202,Red Planet
3203,You Can Count on Me
3204,Diamonds Are Forever
3205,The Eagle Has Landed
3206,The 6th Day
3207,Bounce
3208,How the Grinch Stole Christmas
3209,One Day in September
3210,Rugrats in Paris: The Movie
3211,102 Dalmatians
3212,Malena
3213,Quills
3214,Unbreakable
3215,"Crouching Tiger, Hidden Dragon"
3216,Dungeons & Dragons
3217,Proof of Life
3218,Vertical Limit
3219,The Bounty
3220,Code of Silence
3221,"Planes, Trains and Automobiles"
3222,She's Having a Baby
3223,The Living Daylights
3224,The Transformers: The Movie
3225,Wall Street
3226,Born on the Fourth of July
3227,Talk Radio
3228,Brewster's Millions
3229,Snatch
3230,Punchline
3231,Chocolat
3232,"Dude, Where’s My Car?"
3233,The Emperor's New Groove
3234,Pollock
3235,What Women Want
3236,Finding Forrester
3237,The Gift
3238,Before Night Falls
3239,Cast Away
3240,The Family Man
3241,The House of Mirth
3242,Miss Congeniality
3243,Nowhere to Hide
3244,"O Brother, Where Art Thou?"
3245,State and Main
3246,Dracula 2000
3247,All the Pretty Horses
3248,Thirteen Days
3249,Traffic
3250,The Claim
3251,Shadow of the Vampire
3252,House of Games
3253,Annie
3254,Don't Tell Mom the Babysitter's Dead
3255,An Officer and a Gentleman
3256,The Alamo
3257,At Close Range
3258,Breakheart Pass
3259,Friendly Persuasion
3260,Gettysburg
3261,Imaginary Crimes
3262,Antitrust
3263,Double Take
3264,Save the Last Dance
3265,Panic
3266,The Pledge
3267,Love Field
3268,The Man in the Moon
3269,Mystic Pizza
3270,Prelude to a Kiss
3271,I'm Gonna Git You Sucka
3272,Untamed Heart
3273,Sugar & Spice
3274,The Wedding Planner
3275,The Invisible Circus
3276,Two Ninas
3277,"Harry, He's Here To Help"
3278,Amazon Women on the Moon
3279,Baby Boom
3280,Back to the Beach
3281,Barfly
3282,Beverly Hills Cop II
3283,Beverly Hills Cop
3284,The Big Easy
3285,The Big Town
3286,Born in East L.A.
3287,The Brave Little Toaster
3288,Can't Buy Me Love
3289,Cherry 2000
3290,Cry Freedom
3291,The Dead
3292,Dogs in Space
3293,Eddie Murphy Raw
3294,Empire of the Sun
3295,Ernest Goes to Camp
3296,The Evil Dead
3297,Extreme Prejudice
3298,Five Corners
3299,Flowers in the Attic
3300,Gardens of Stone
3301,"Good Morning, Babylon"
3302,Hiding Out
3303,Hollywood Shuffle
3304,Hope and Glory
3305,Innerspace
3306,Ironweed
3307,Ishtar
3308,Jaws: The Revenge
3309,Less Than Zero
3310,The Lost Boys
3311,Maid to Order
3312,Making Mr. Right
3313,Mannequin
3314,Masters of the Universe
3315,The Monster Squad
3316,A Month in the Country
3317,No Man's Land
3318,North Shore
3319,Head Over Heels
3320,Left Behind
3321,Valentine
3322,In the Mood for Love
3323,The Million Dollar Hotel
3324,Hannibal
3325,Saving Silverman
3326,The Taste of Others
3327,Down to Earth
3328,Sweet November
3329,Company Man
3330,Monkeybone
3331,3000 Miles to Graceland
3332,The Mexican
3333,See Spot Run
3334,Series 7: The Contenders
3335,15 Minutes
3336,Get Over It
3337,Blow Dry
3338,Long Night's Journey Into Day
3339,When Brendan Met Trudy
3340,Avalon
3341,Gray's Anatomy
3342,The Mirror Crack'd
3343,Of Mice and Men
3344,Pixote
3345,Reform School Girls
3346,Tapeheads
3347,The Unbelievable Truth
3348,The Bishop's Wife
3349,Elvis That's the Way It Is
3350,The Fortune Cookie
3351,Lilies of the Field
3352,Hans Christian Andersen
3353,The Greatest Story Ever Told
3354,Elmer Gantry
3355,Alfie
3356,I Know Where I'm Going!
3357,The Abominable Dr. Phibes
3358,Real Life
3359,Battle Beyond the Stars
3360,Double Impact
3361,The End
3362,Harley Davidson and the Marlboro Man
3363,Mermaids
3364,Unmade Beds
3365,Manhunter
3366,Reversal of Fortune
3367,Death on the Nile
3368,DeepStar Six
3369,Revenge of the Nerds
3370,Revenge of the Nerds II: Nerds in Paradise
3371,Longtime Companion
3372,4 Little Girls
3373,River's Edge
3374,Girls Just Want to Have Fun
3375,The Longest Yard
3376,Necessary Roughness
3377,C.H.U.D.
3378,Enemy at the Gates
3379,Exit Wounds
3380,The Dish
3381,Memento
3382,Heartbreakers
3383,Say It Isn't So
3384,Someone Like You...
3385,Spy Kids
3386,Tomcats
3387,The Tailor of Panama
3388,Amores perros
3389,Keep the River on Your Right: A Modern Cannibal Tale
3390,The Gleaners & I
3391,Along Came a Spider
3392,Blow
3393,Pokémon: Spell of the Unknown
3394,Pokémon: Spell of the Unknown
3395,Pokémon: Spell of the Unknown
3396,Pokémon: Spell of the Unknown
3397,Pokémon: Spell of the Unknown
3398,Pokémon: Spell of the Unknown
3399,Pokémon: Spell of the Unknown
3400,Pokémon: Spell of the Unknown
3401,Bridget Jones's Diary
3402,Joe Dirt
3403,Josie and the Pussycats
3404,Chopper
3405,The Circle
3406,Crocodile Dundee in Los Angeles
3407,Freddy Got Fingered
3408,Scarface
3409,Days of Wine and Roses
3410,Driven
3411,The Forsaken
3412,One Night at McCool's
3413,Town & Country
3414,The Mummy Returns
3415,Eureka
3416,Under the Sand
3417,Cleopatra
3418,Krull
3419,Lost in America
3420,The Lost World
3421,Triumph of the Will
3422,True Believer
3423,The World According to Garp
3424,Candy
3425,Fellini Satyricon
3426,Frankie and Johnny
3427,For the Boys
3428,Nine to Five
3429,Norma Rae
3430,Summer Rental
3431,"The 5,000 Fingers of Dr. T."
3432,Love Story
3433,Pelle the Conqueror
3434,Rififi
3435,A Knight's Tale
3436,Bread and Roses
3437,The King Is Alive
3438,Startup.com
3439,Angel Eyes
3440,Shrek
3441,Moulin Rouge!
3442,Pearl Harbor
3443,Himalaya
3444,Ice Castles
3445,Love Potion No. 9
3446,Postcards from the Edge
3447,Apache
3448,City Slickers
3449,Eight Men Out
3450,The Kentuckian
3451,Mississippi Burning
3452,The Magnificent Seven
3453,Rio Bravo
3454,Suspect
3455,Throw Momma from the Train
3456,Yi Yi
3457,The Sand Pebbles
3458,Twelve O'Clock High
3459,Von Ryan's Express
3460,The Animal
3461,Big Eden
3462,Evolution
3463,Swordfish
3464,The Anniversary Party
3465,Divided We Fall
3466,Catch-22
3467,Forgotten Silver
3468,Point Break
3469,Shag
3470,Uncommon Valor
3471,Unlawful Entry
3472,Youngblood
3473,Gentlemen Prefer Blondes
3474,How to Marry a Millionaire
3475,The Seven Year Itch
3476,There's No Business Like Show Business
3477,Tootsie
3478,Atlantis: The Lost Empire
3479,Lara Croft: Tomb Raider
3480,Dr. Dolittle 2
3481,The Fast and the Furious
3482,A.I. Artificial Intelligence
3483,Baby Boy
3484,Crazy/Beautiful
3485,Funny Felix
3486,Sexy Beast
3487,The Princess and the Warrior
3488,The Closet
3489,The Crimson Rivers
3490,Lumumba
3491,Cats & Dogs
3492,Kiss of the Dragon
3493,Scary Movie 2
3494,Lost and Delirious
3495,Baise-moi
3496,The Vertical Ray of the Sun
3497,Alice
3498,Beach Blanket Bingo
3499,The Cannonball Run
3500,Cannonball Run II
3501,Diary of a Chambermaid
3502,Donovan's Reef
3503,Dr. Goldfoot and the Bikini Machine
3504,House of Usher
3505,Faust
3506,The Last Laugh
3507,The Man Who Shot Liberty Valance
3508,Salvador
3509,Shadows and Fog
3510,Something Wild
3511,The Sons of Katie Elder
3512,X: The Man with the X-Ray Eyes
3513,Nice Dreams
3514,The House by the Cemetery
3515,The Barefoot Contessa
3516,Cries and Whispers
3517,The Garden of the Finzi-Continis
3518,Kiss Me Deadly
3519,The Lion in Winter
3520,The Misfits
3521,Sweet Smell of Success
3522,Written on the Wind
3523,Suspiria
3524,Fist of Fury
3525,The Big Boss
3526,Game of Death
3527,The Last Dragon
3528,Outland
3529,The Way of the Dragon
3530,T-Rex: Back to the Cretaceous
3531,Final Fantasy: The Spirits Within
3532,Legally Blonde
3533,The Score
3534,Bully
3535,Jump Tomorrow
3536,Made
3537,Michael Jordan to the Max
3538,More
3539,Africa: The Serengeti
3540,Alaska: Spirit of the Wild
3541,18 Again!
3542,The Accidental Tourist
3543,The Accused
3544,Above the Law
3545,The Adventures of Baron Munchausen
3546,Appointment with Death
3547,Ariel
3548,Arthur 2: On the Rocks
3549,Bat*21
3550,Beaches
3551,The Beast of War
3552,Big Top Pee-wee
3553,Biloxi Blues
3554,Bird
3555,The Blob
3556,"Bright Lights, Big City"
3557,Caddyshack II
3558,Camille Claudel 1915
3559,Camille Claudel 1915
3560,Camille Claudel 1915
3561,Camille Claudel 1915
3562,Camille Claudel 1915
3563,Camille Claudel 1915
3564,Camille Claudel 1915
3565,Camille Claudel 1915
3566,Clean and Sober
3567,Cocktail
3568,Colors
3569,Coming to America
3570,The Couch Trip
3571,Criminal Law
3572,Critters
3573,Critters 2
3574,Crossing Delancey
3575,D.O.A.
3576,The Dead Pool
3577,Dirty Rotten Scoundrels
3578,Drowning by Numbers
3579,"Elvira, Mistress of the Dark"
3580,Ernest Saves Christmas
3581,Everybody's All-American
3582,Frantic
3583,Gorillas in the Mist
3584,The Great Outdoors
3585,High Spirits
3586,Imagine: John Lennon
